adsh,ddate,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,InterestExpense,Liabilities,LiabilitiesCurrent,LongTermDebtNoncurrent,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,StockholdersEquity,current_ratio,cash_ratio,debt_to_equity,debt_to_assets,net_profit_margin,return_on_assets,return_on_equity,free_cash_flow,operating_cf_ratio,risk_score,risk_category
0000012927-25-000015,20241231,156363000000.0,127998000000.0,13801000000.0,1277965.0,160277000000.0,97078000000.0,107203000.0,-12080000000.0,-11817000000.0,-9764000000.0,2230000000.0,1472000000.0,-3908000000.0,0.8409233438676608,0.1329247375614386,-3.7379681066551984,1.0250314972212096,-8.027853260869565,-0.0755741447784962,3.023797338792221,-14310000000.0,-0.07536951652451693,9.370331413440907,2
0000014272-24-000044,20221231,96820000000.0,27273000000.0,9123000000.0,1277965.0,65702000000.0,21890000000.0,35056000000.0,13066000000.0,6327000000.0,-1630000.0,1118000000.0,657000000.0,292000000.0,0.8091113965248585,0.3483765598844186,5.42056530551689,0.6785994629208841,9.63013698630137,0.06534806858087172,21.66780821917808,11948000000.0,0.19886761438007974,-6.976921382590827,0
0000014272-24-000044,20231231,95159000000.0,31770000000.0,11464000000.0,1277965.0,65674000000.0,22262000000.0,36653000000.0,13860000000.0,8025000000.0,-1630000.0,1209000000.0,170000000.0,-43766000000.0,0.8866952745721778,0.41538786417695883,-0.9165191936420721,0.6901501697159491,47.205882352941174,0.08433253817295264,-0.18336151350363294,12651000000.0,0.211042421658495,-9.724679592108513,0
0000014272-25-000039,20231231,95159000000.0,31770000000.0,11464000000.0,1277965.0,65674000000.0,22262000000.0,36653000000.0,13860000000.0,8025000000.0,-1630000.0,1209000000.0,3601000000.0,29430000000.0,0.8866952745721778,0.41538786417695883,1.1729564674098578,0.6901501697159491,2.228547625659539,0.08433253817295264,0.2726809378185525,12651000000.0,0.211042421658495,-9.042666545593166,0
0000014272-25-000039,20241231,92603000000.0,29780000000.0,10346000000.0,1277965.0,76215000000.0,23774000000.0,47603000000.0,15190000000.0,-8948000000.0,-1630000.0,1248000000.0,928000000.0,-1238000000.0,0.8120979440909619,0.3612911760650458,-4.136174126517833,0.823029491485157,-9.642241379310345,-0.09662753906460914,7.22778675282714,13942000000.0,0.19930459883225088,-11.499733837685282,0
0000014846-24-000019,20221231,732616000.0,14520073.0,20281000.0,1277965.0,263483000.0,12204998.0,107203000.0,425000.0,121187000.0,-15011000.0,1020572.5,70527000.0,250088000.0,0.8311600980251587,0.2999388915531042,0.7195754306823544,0.3596467999606888,1.718306464191019,0.16541680771372724,0.48457742874508175,-1621403.0,0.0016130072907929545,0.19880690377696308,1
0000014846-24-000019,20231231,337036000.0,14520073.0,6447000.0,1277965.0,255717000.0,12204998.0,107203000.0,19606000.0,42585000.0,4537000.0,1020572.5,11194000.0,228460000.0,0.8311600980251587,0.2999388915531042,0.7510894020373162,0.7587231037633962,3.8042701447203857,0.12635148767490714,0.18640024511949577,-1621403.0,0.07667069455687342,0.21345077934154147,1
0000014846-25-000005,20231231,709963000.0,14520073.0,23512000.0,1277965.0,481518000.0,12204998.0,107203000.0,19606000.0,3873000.0,4537000.0,1020572.5,93617000.0,228460000.0,0.8311600980251587,0.2999388915531042,1.1338728433339937,0.6782297105623815,0.04137069122061164,0.005455213863257663,0.01695263941171321,-1621403.0,0.040717065613331174,0.3363095958216131,1
0000014846-25-000005,20241231,329710000.0,14520073.0,27856000.0,1277965.0,256260000.0,12204998.0,107203000.0,24143000.0,-9791000.0,-12312000.0,1020572.5,9458000.0,204969000.0,0.8311600980251587,0.2999388915531042,0.811035917671611,0.7772284735070213,-1.0352082892789174,-0.029695793272876164,-0.04776819909352146,-1621403.0,0.09421290876453602,0.2343352192128258,1
0000015615-24-000021,20221231,2378600000.0,3859127000.0,370592000.0,1277965.0,6552072000.0,2496037000.0,107203000.0,352297000.0,33354000.0,-1630000.0,1020572.5,10400000.0,2737329000.0,0.9345634366447899,0.13843250085488445,1.221891445375566,2.754591776675355,3.207115384615385,0.014022534263852686,0.012184870726171389,-1621403.0,0.05376879252853143,0.5182526340877666,1
